Date,State,Vegetable Name,Wholesale Price,Retail Price,Mall Price,Unit,Vegetable Image
2024-05-03,andhrapradesh,Amla,70,81 - 89,84 - 116,1kg,N/A
2024-05-03,andhrapradesh,Ash gourd,19,22 - 24,23 - 31,1kg,N/A
2024-05-03,andhrapradesh,Baby Corn,48,55 - 61,58 - 79,1kg,N/A
2024-05-03,andhrapradesh,Banana Flower,14,16 - 18,17 - 23,1kg,N/A
2024-05-03,andhrapradesh,Capsicum,50,58 - 64,60 - 83,1kg,N/A
2024-05-03,andhrapradesh,Bitter Gourd,35,40 - 44,42 - 58,1kg,N/A
2024-05-03,andhrapradesh,Bottle Gourd,27,31 - 34,32 - 45,1kg,N/A
2024-05-03,andhrapradesh,Butter Beans,47,54 - 60,56 - 78,1kg,N/A
2024-05-03,andhrapradesh,Broad Beans,29,33 - 37,35 - 48,1kg,N/A
2024-05-03,andhrapradesh,Cabbage,21,24 - 27,25 - 35,1kg,N/A
2024-05-03,andhrapradesh,Carrot,45,52 - 57,54 - 74,1kg,N/A
2024-05-03,andhrapradesh,Cauliflower,26,30 - 33,31 - 43,1kg,N/A
2024-05-03,andhrapradesh,Cluster beans,43,49 - 55,52 - 71,1kg,N/A
2024-05-03,andhrapradesh,Coconut,34,39 - 43,41 - 56,1kg,N/A
2024-05-03,andhrapradesh,Colocasia Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-03,andhrapradesh,Colocasia,28,32 - 36,34 - 46,1kg,N/A
2024-05-03,andhrapradesh,Coriander Leaves,10,12 - 13,12 - 17,1kg,N/A
2024-05-03,andhrapradesh,Corn,29,33 - 37,35 - 48,1kg,N/A
2024-05-03,andhrapradesh,Cucumber,25,29 - 32,30 - 41,1kg,N/A
2024-05-03,andhrapradesh,Curry Leaves,28,32 - 36,34 - 46,1kg,N/A
2024-05-03,andhrapradesh,Dill Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-03,andhrapradesh,Drumsticks,40,46 - 51,48 - 66,1kg,N/A
2024-05-03,andhrapradesh,Brinjal,23,26 - 29,28 - 38,1kg,N/A
2024-05-03,andhrapradesh,Brinjal (Big),23,26 - 29,28 - 38,1kg,N/A
2024-05-03,andhrapradesh,Elephant Yam,28,32 - 36,34 - 46,1kg,N/A
2024-05-03,andhrapradesh,Fenugreek Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-03,andhrapradesh,French Beans,52,60 - 66,62 - 86,1kg,N/A
2024-05-03,andhrapradesh,Garlic,167,192 - 212,200 - 276,1kg,N/A
2024-05-03,andhrapradesh,Ginger,104,120 - 132,125 - 172,1kg,N/A
2024-05-03,andhrapradesh,Onion Green,38,44 - 48,46 - 63,1kg,N/A
